,precision,recall,f1-score,support
0,0.9974258072649439,0.9932103914755993,0.9953136360408374,740838.0
1,0.4816570486397362,0.7110908261068005,0.5743073047858941,6573.0
accuracy,0.9907293309838897,0.9907293309838897,0.9907293309838897,0.9907293309838897
macro avg,0.73954142795234,0.8521506087911999,0.7848104704133658,747411.0
weighted avg,0.9928899520922966,0.9907293309838897,0.9916111555912069,747411.0
