,precision,recall,f1-score,support
0,0.9971520329637036,0.99957075635969,0.9983599297054953,740838.0
1,0.9334170854271356,0.6782291191236878,0.7856198784033837,6573.0
accuracy,0.9967447629216054,0.9967447629216054,0.9967447629216054,0.9967447629216054
macro avg,0.9652845591954196,0.8388999377416888,0.8919899040544395,747411.0
weighted avg,0.996591525010037,0.9967447629216054,0.9964890175069743,747411.0
