,precision,recall,f1-score,support
0,0.99715070942757,0.9995775054735313,0.9983626327032603,740838.0
1,0.9343815513626834,0.6780769815913585,0.7858591201622146,6573.0
accuracy,0.9967501147293791,0.9967501147293791,0.9967501147293791,0.9967501147293791
macro avg,0.9657661303951267,0.8388272435324449,0.8921108764327375,747411.0
weighted avg,0.99659869497239,0.9967501147293791,0.9964938007113143,747411.0
