,precision,recall,f1-score,support
0,0.9968781874110216,1.0,0.9984366534680688,740838.0
1,1.0,0.6470409249961966,0.7857010899685941,6573.0
accuracy,0.9968959514912143,0.9968959514912143,0.9968959514912143,0.9968959514912143
macro avg,0.9984390937055108,0.8235204624980983,0.8920688717183314,747411.0
weighted avg,0.9969056417489259,0.9968959514912143,0.9965657807368913,747411.0
